Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/BSC_avecinduit.txt
At local time: 19:03:04,  08/12/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 6.03e+05
tau       = 6.82e+00
lb        = 0.00e+00
beta      = ********
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 2.12e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Brems ep         Error           
-----------------------------------------------
0040    6.2900826e-06    6.3068383e-06    6.3236830e-06    5.8466751e+17   -8.0606192e+27    8.0606162e+27    2.7259548e+21
0041    6.3236830e-06    6.3405287e-06    6.3574635e-06    5.9880290e+17   -8.1012321e+27    8.1012297e+27    2.7551559e+21
0042    6.3574635e-06    6.3743983e-06    6.3914240e-06    6.1328333e+17   -8.1420475e+27    8.1420446e+27    2.7846694e+21
0043    6.3914240e-06    6.4084493e-06    6.4255655e-06    6.2811849e+17   -8.1830695e+27    8.1830666e+27    2.8144998e+21
0044    6.4255655e-06    6.4426822e-06    6.4598903e-06    6.4332109e+17   -8.2242958e+27    8.2242934e+27    1.8964327e+21
0045    6.4598903e-06    6.4770979e-06    6.4943974e-06    6.5890028e+17   -8.2657298e+27    8.2657269e+27    2.8751214e+21
0046    6.4943974e-06    6.5116969e-06    6.5290897e-06    6.7486519e+17   -8.3073705e+27    8.3073687e+27    1.9372801e+21
0047    6.5290897e-06    6.5464819e-06    6.5639665e-06    6.9122489e+17   -8.3492225e+27    8.3492195e+27    2.9370490e+21
0048    6.5639665e-06    6.5814520e-06    6.5990303e-06    7.0798887e+17   -8.3912840e+27    8.3912810e+27    2.9685114e+21
0049    6.5990303e-06    6.6166090e-06    6.6342809e-06    7.2516620e+17   -8.4335545e+27    8.4335527e+27    2.0002069e+21
0050    6.6342809e-06    6.6519533e-06    6.6697203e-06    7.4276573e+17   -8.4760387e+27    8.4760357e+27    3.0324501e+21
0051    6.6697203e-06    6.6874868e-06    6.7053484e-06    7.6079718e+17   -8.5187359e+27    8.5187330e+27    3.0649343e+21
0052    6.7053484e-06    6.7232104e-06    6.7411675e-06    7.7927151e+17   -8.5616487e+27    8.5616457e+27    3.0977667e+21
0053    6.7411675e-06    6.7591250e-06    6.7771775e-06    7.9820634e+17   -8.6047751e+27    8.6047721e+27    2.6091253e+21
0054    6.7771775e-06    6.7952305e-06    6.8133800e-06    8.1761389e+17   -8.6481176e+27    8.6481152e+27    2.6370746e+21
0055    6.8133800e-06    6.8315298e-06    6.8497761e-06    8.3750605e+17   -8.6916790e+27    8.6916767e+27    2.6653237e+21
0056    6.8497761e-06    6.8680224e-06    6.8863665e-06    8.5789422e+17   -8.7354571e+27    8.7354548e+27    2.6938748e+21
0057    6.8863665e-06    6.9047105e-06    6.9231519e-06    8.7879030e+17   -8.7794578e+27    8.7794548e+27    2.7227325e+21
0058    6.9231519e-06    6.9415942e-06    6.9601342e-06    9.0020604e+17   -8.8236774e+27    8.8236745e+27    3.3022785e+21
0059    6.9601342e-06    6.9786747e-06    6.9973144e-06    9.2215305e+17   -8.8681190e+27    8.8681161e+27    2.7813775e+21
0060    6.9973144e-06    7.0159535e-06    7.0346928e-06    9.4464349e+17   -8.9127844e+27    8.9127814e+27    2.8111725e+21
0061    7.0346928e-06    7.0534315e-06    7.0722708e-06    9.6768905e+17   -8.9576722e+27    8.9576693e+27    2.8412858e+21
0062    7.0722708e-06    7.0911101e-06    7.1100494e-06    9.9130209e+17   -9.0027873e+27    9.0027844e+27    2.8717223e+21
0063    7.1100494e-06    7.1289896e-06    7.1480304e-06    1.0155039e+18   -9.0481280e+27    9.0481250e+27    2.9024847e+21
0064    7.1480304e-06    7.1670711e-06    7.1862137e-06    1.0403161e+18   -9.0936953e+27    9.0936923e+27    2.9335767e+21
0065    7.1862137e-06    7.2053563e-06    7.2246012e-06    1.0657540e+18   -9.1394916e+27    9.1394886e+27    2.9650017e+21
