Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/with_induced.txt
At local time: 11:34:36,  07/13/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.62e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Synchrotron      Error           
-----------------------------------------------
0039    6.2566610e-06    6.2733275e-06    6.2900826e-06    9.6961778e+25   -1.1205686e+33    1.1205687e+33    0.0000000e+00
0040    6.2900826e-06    6.3068383e-06    6.3236830e-06    9.8524401e+25   -1.1155439e+33    1.1155440e+33    0.0000000e+00
0041    6.3236830e-06    6.3405287e-06    6.3574635e-06    1.0011222e+26   -1.1105309e+33    1.1105311e+33    7.7966058e+25
0042    6.3574635e-06    6.3743983e-06    6.3914240e-06    1.0172557e+26   -1.1055317e+33    1.1055318e+33    7.8801235e+25
0043    6.3914240e-06    6.4084493e-06    6.4255655e-06    1.0336490e+26   -1.1005450e+33    1.1005452e+33    7.9645376e+25
0044    6.4255655e-06    6.4426822e-06    6.4598903e-06    1.0503061e+26   -1.0955594e+33    1.0955596e+33    8.0498547e+25
0045    6.4598903e-06    6.4770979e-06    6.4943974e-06    1.0672316e+26   -1.0905755e+33    1.0905757e+33    8.1360868e+25
0046    6.4943974e-06    6.5116969e-06    6.5290897e-06    1.0844295e+26   -1.0855950e+33    1.0855950e+33    0.0000000e+00
0047    6.5290897e-06    6.5464819e-06    6.5639665e-06    1.1019045e+26   -1.0806192e+33    1.0806193e+33    0.0000000e+00
0048    6.5639665e-06    6.5814520e-06    6.5990303e-06    1.1196606e+26   -1.0756499e+33    1.0756500e+33    8.4003641e+25
0049    6.5990303e-06    6.6166090e-06    6.6342809e-06    1.1377027e+26   -1.0706893e+33    1.0706895e+33    8.4903501e+25
0050    6.6342809e-06    6.6519533e-06    6.6697203e-06    1.1560350e+26   -1.0657406e+33    1.0657406e+33    0.0000000e+00
0051    6.6697203e-06    6.6874868e-06    6.7053484e-06    1.1746624e+26   -1.0608059e+33    1.0608061e+33    8.6732237e+25
0052    6.7053484e-06    6.7232104e-06    6.7411675e-06    1.1935896e+26   -1.0558853e+33    1.0558856e+33    8.7661335e+25
0053    6.7411675e-06    6.7591250e-06    6.7771775e-06    1.2128215e+26   -1.0509646e+33    1.0509647e+33    8.8600376e+25
0054    6.7771775e-06    6.7952305e-06    6.8133800e-06    1.2323631e+26   -1.0460429e+33    1.0460429e+33    0.0000000e+00
0055    6.8133800e-06    6.8315298e-06    6.8497761e-06    1.2522193e+26   -1.0411213e+33    1.0411214e+33    0.0000000e+00
0056    6.8497761e-06    6.8680224e-06    6.8863665e-06    1.2723952e+26   -1.0362015e+33    1.0362016e+33    9.1478289e+25
0057    6.8863665e-06    6.9047105e-06    6.9231519e-06    1.2928960e+26   -1.0312858e+33    1.0312861e+33    9.2458236e+25
0058    6.9231519e-06    6.9415942e-06    6.9601342e-06    1.3137268e+26   -1.0263759e+33    1.0263759e+33    0.0000000e+00
0059    6.9601342e-06    6.9786747e-06    6.9973144e-06    1.3348929e+26   -1.0214744e+33    1.0214745e+33    0.0000000e+00
0060    6.9973144e-06    7.0159535e-06    7.0346928e-06    1.3563997e+26   -1.0165841e+33    1.0165842e+33    0.0000000e+00
0061    7.0346928e-06    7.0534315e-06    7.0722708e-06    1.3782523e+26   -1.0117076e+33    1.0117078e+33    9.6484053e+25
0062    7.0722708e-06    7.0911101e-06    7.1100494e-06    1.4004567e+26   -1.0068484e+33    1.0068486e+33    9.7517615e+25
