Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu_SSC_avecinduit/SSC_avecinduit.txt
At local time: 18:51:40,  08/14/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 4.62e+05
tau       = 3.23e-01
lb        = 1.94e-01
beta      = 3.25e+06
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.19e+00
lnth      = 0.00e+00
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        SPECTRUM         Compton          Synchrotron      Brems ep         Error           
-----------------------------------------------
0001    5.1099905e-06    5.1236029e-06    5.1372876e-06    6.9184433e+24    3.6954974e+33   -3.6954974e+33   -9.2908646e+24    9.2908646e+24
0002    5.1372876e-06    5.1509724e-06    5.1647298e-06    2.5202452e+22   -1.0852469e+31    1.0852467e+31    2.2863596e+24    3.8497054e+23
0003    5.1647298e-06    5.1784873e-06    5.1923189e-06    2.6208957e+22   -1.1136335e+31    1.1136333e+31    2.1653578e+24    2.4360098e+23
0004    5.1923189e-06    5.2061500e-06    5.2200553e-06    2.7197936e+22   -1.1403560e+31    1.1403558e+31    2.0525792e+24    1.1023596e+23
0005    5.2200553e-06    5.2339606e-06    5.2479400e-06    2.8175674e+22   -1.1657076e+31    1.1657074e+31    1.9464647e+24    9.6488959e+23
0006    5.2479400e-06    5.2619193e-06    5.2759733e-06    2.9146871e+22   -1.1899172e+31    1.1899169e+31    1.8458586e+24    1.3832097e+23
0007    5.2759733e-06    5.2900277e-06    5.3041567e-06    3.0115231e+22   -1.2131636e+31    1.2131635e+31    1.7498672e+24    7.4714999e+23
0008    5.3041567e-06    5.3182862e-06    5.3324907e-06    3.1083746e+22   -1.2355872e+31    1.2355870e+31    1.6577775e+24    3.6913967e+23
0009    5.3324907e-06    5.3466956e-06    5.3609760e-06    3.2054841e+22   -1.2573015e+31    1.2573012e+31    1.5690230e+24    4.7960677e+23
0010    5.3609760e-06    5.3752565e-06    5.3896133e-06    3.3030559e+22   -1.2783990e+31    1.2783988e+31    1.4831406e+24    5.8743430e+23
0011    5.3896133e-06    5.4039701e-06    5.4184038e-06    3.4012662e+22   -1.2989557e+31    1.2989556e+31    1.3997434e+24    3.5336565e+23
0012    5.4184038e-06    5.4328375e-06    5.4473480e-06    3.5002641e+22   -1.3190354e+31    1.3190353e+31    1.3185124e+24    2.6092574e+23
0013    5.4473480e-06    5.4618586e-06    5.4764469e-06    3.6001798e+22   -1.3386918e+31    1.3386917e+31    1.2391773e+24    1.7026156e+23
0014    5.4764469e-06    5.4910347e-06    5.5057008e-06    3.7011316e+22   -1.3579708e+31    1.3579707e+31    1.1615084e+24    8.1142264e+22
0015    5.5057008e-06    5.5203673e-06    5.5351111e-06    1.3659077e+22   -4.9450999e+30    4.9450941e+30    5.8136493e+24    1.9201691e+23
0016    5.5351111e-06    5.5498558e-06    5.5646792e-06    1.7521098e+22   -6.2590980e+30    6.2590931e+30    5.1444539e+24    1.7809092e+23
0017    5.5646792e-06    5.5795022e-06    5.5944047e-06    2.3563709e+22   -8.3059569e+30    8.3059533e+30    4.0774401e+24    1.7333461e+23
0018    5.5944047e-06    5.6093068e-06    5.6242889e-06    2.7288605e+22   -9.4912150e+30    9.4912119e+30    3.4703272e+24    8.8103992e+22
0019    5.6242889e-06    5.6392705e-06    5.6543327e-06    3.0132835e+22   -1.0341255e+31    1.0341253e+31    3.0416583e+24    7.6268899e+23
0020    5.6543327e-06    5.6693948e-06    5.6845370e-06    3.2518840e+22   -1.1011841e+31    1.1011838e+31    2.7082639e+24    4.0488204e+23
0021    5.6845370e-06    5.6996796e-06    5.7149032e-06    3.4631686e+22   -1.1571474e+31    1.1571472e+31    2.4335959e+24    1.0553952e+23
0022    5.7149032e-06    5.7301263e-06    5.7454308e-06    3.6568619e+22   -1.2056255e+31    1.2056252e+31    2.1984102e+24    1.5458474e+23
0023    5.7454308e-06    5.7607353e-06    5.7761222e-06    3.8386783e+22   -1.2487435e+31    1.2487432e+31    1.9913896e+24    3.8681086e+23
0024    5.7761222e-06    5.7915086e-06    5.8069772e-06    4.0122488e+22   -1.2878511e+31    1.2878509e+31    1.8053490e+24    5.9832731e+23
0025    5.8069772e-06    5.8224455e-06    5.8379969e-06    4.1800169e+22   -1.3238555e+31    1.3238554e+31    1.6354598e+24    4.2074746e+23
0026    5.8379969e-06    5.8535479e-06    5.8691826e-06    4.3437011e+22   -1.3573948e+31    1.3573947e+31    1.4783373e+24    2.5061271e+23
0027    5.8691826e-06    5.8848168e-06    5.9005347e-06    4.5045607e+22   -1.3889315e+31    1.3889314e+31    1.3315148e+24    9.0638500e+22
0028    5.9005347e-06    5.9162521e-06    5.9320541e-06    4.6635418e+22   -1.4188130e+31    1.4188130e+31    1.0511417e+24    1.0511417e+24
0029    5.9320541e-06    5.9478562e-06    5.9637423e-06    4.8213804e+22   -1.4473053e+31    1.4473053e+31    9.1761332e+23    9.1761332e+23
0030    5.9637423e-06    5.9796284e-06    5.9955996e-06    4.9786564e+22   -1.4746160e+31    1.4746159e+31    7.9017104e+23    4.9101154e+23
0031    5.9955996e-06    6.0115708e-06    6.0276270e-06    5.1358415e+22   -1.5009110e+31    1.5009109e+31    6.6791740e+23    6.2698941e+23
0032    6.0276270e-06    6.0436832e-06    6.0598254e-06    5.2933225e+22   -1.5263248e+31    1.5263248e+31    5.5012885e+23    5.5012885e+23
0033    6.0598254e-06    6.0759676e-06    6.0921957e-06    5.4514263e+22   -1.5509670e+31    1.5509668e+31    4.3620983e+23    8.8658813e+23
0034    6.0921957e-06    6.1084247e-06    6.1247392e-06    5.6104277e+22   -1.5749291e+31    1.5749291e+31    3.2567010e+23    3.2567010e+23
0035    6.1247392e-06    6.1410547e-06    6.1574565e-06    5.7705676e+22   -1.5982873e+31    1.5982873e+31    2.1809600e+23    2.1809600e+23
