Spectra extracted from: /Users/belmont/Recherche/codes/BELM/belm/simu000/spectra.txt
At local time: 15:59:43,  07/01/2021
Author: belmont
 
PARAMETERS:-----------------------------------
time      = 0.00e+00
Rcm       = 5.00e+07
tau       = 2.40e+00
lb        = 1.61e-02
beta      = 2.91e+08
lth       = 9.49e+00
lc        = 0.00e+00
Tp        = 1.00e+06
pinj      = 1.57e-01
lnth      = 9.50e-01
p1        = 8.31e-01
p2        = 1.00e+03
gamma_inj = 5.00e+00
linjw     = 0.00e+00
kTin      = 1.00e+00
kTout     = 1.00e-10
linjem    = 0.00e+00
linjep    = 0.00e+00
lslh      = 0.00e+00
lh        = 0.00e+00
llll      = 0.00e+00
lblh      = 0.00e+00
lnthlh    = 0.00e+00
par3      = 0.00e+00
y         = 0.00e+00
rr        = 0.00e+00
qsto      = 1.67e+00
lsto      = 0.00e+00
lstotot   = 0.00e+00
tau_inj   = 0.00e+00
kTin_inj  = 0.00e+00
pinj_inj  = 0.00e+00
 
PHOTON DISTRIBUTIONS:-------------------------
 #bin     Emin(keV)         E(keV)          Emax(keV)        Distribution     SPECTRUM         Compton          Synchrotron      Error           
-----------------------------------------------
0001    5.1099903e-07    5.3964249e-07    5.7168774e-07    8.4519144e+22    8.4519144e+22    7.6194502e+22    8.3235376e+21    1.1024486e+18
0002    5.7168774e-07    6.0373299e-07    6.3958402e-07    1.1820985e+23    1.1820985e+23   -1.2290650e+23    2.4111523e+23    1.1375967e+18
0003    6.3958402e-07    6.7543510e-07    7.1554405e-07    1.6522567e+23    1.6522567e+23   -1.5088676e+23    3.1611187e+23    5.8008907e+17
0004    7.1554405e-07    7.5565299e-07    8.0052541e-07    2.3079248e+23    2.3079248e+23   -1.8893231e+23    4.1972262e+23    2.1781786e+18
0005    8.0052541e-07    8.4539784e-07    8.9559956e-07    3.2284151e+23    3.2284151e+23   -2.4236168e+23    5.6520575e+23    2.5610540e+18
0006    8.9559956e-07    9.4580128e-07    1.0019653e-06    4.5148442e+23    4.5148442e+23   -3.1631925e+23    7.6779874e+23    4.9116586e+18
0007    1.0019653e-06    1.0581291e-06    1.1209632e-06    6.3152147e+23    6.3152147e+23   -4.1960632e+23    1.0511150e+24    1.2748183e+19
0008    1.1209632e-06    1.1837975e-06    1.2540941e-06    8.8357425e+23    8.8357425e+23   -5.6435850e+23    1.4479100e+24    2.2678672e+19
0009    1.2540941e-06    1.3243908e-06    1.4030362e-06    1.2364894e+24    1.2364894e+24   -7.6755288e+23    2.0040553e+24    1.2976187e+19
0010    1.4030362e-06    1.4816817e-06    1.5696675e-06    1.7305922e+24    1.7305922e+24   -1.0528527e+24    2.7834580e+24    1.3196170e+19
0011    1.5696675e-06    1.6576531e-06    1.7560885e-06    2.4223296e+24    2.4223296e+24   -1.4533741e+24    3.8757007e+24    2.8586736e+18
0012    1.7560885e-06    1.8545238e-06    1.9646500e-06    3.3907361e+24    3.3907361e+24   -2.0154985e+24    5.4062432e+24    8.7462582e+18
0013    1.9646500e-06    2.0747759e-06    2.1979811e-06    4.7464608e+24    4.7464608e+24   -2.8041337e+24    7.5505982e+24    3.9807706e+18
0014    2.1979811e-06    2.3211860e-06    2.4590236e-06    6.6444077e+24    6.6444077e+24   -3.9100889e+24    1.0554525e+25    2.7403583e+19
0015    2.4590236e-06    2.5968611e-06    2.7510687e-06    9.3014358e+24    9.3014358e+24   -5.4604311e+24    1.4761856e+25    1.0913403e+19
0016    2.7510687e-06    2.9052765e-06    3.0777985e-06    1.3021134e+25    1.3021134e+25   -7.6329687e+24    2.0654098e+25    5.8541100e+18
0017    3.0777985e-06    3.2503206e-06    3.4433322e-06    1.8228508e+25    1.8228508e+25   -1.0676565e+25    2.8905084e+25    1.2212010e+19
0018    3.4433322e-06    3.6363440e-06    3.8522790e-06    2.5518534e+25    2.5518534e+25   -1.4939538e+25    4.0458100e+25    2.7512950e+19
0019    3.8522790e-06    4.0682135e-06    4.3097934e-06    3.5724124e+25    3.5724124e+25   -2.0909481e+25    5.6633598e+25    7.6524794e+18
0020    4.3097934e-06    4.5513734e-06    4.8216448e-06    5.0011263e+25    5.0011263e+25   -2.9268995e+25    7.9280260e+25    0.0000000e+00
0021    4.8216448e-06    5.0919161e-06    5.3942858e-06    7.0012214e+25    7.0012214e+25   -4.0973705e+25    1.1098591e+26    1.1988290e+19
0022    5.3942858e-06    5.6966555e-06    6.0349366e-06    9.8011877e+25    9.8011877e+25   -5.7361548e+25    1.5537342e+26    1.5004954e+19
0023    6.0349366e-06    6.3732173e-06    6.7516739e-06    1.3720887e+26    1.3720887e+26   -8.0305890e+25    2.1751475e+26    0.0000000e+00
0024    6.7516739e-06    7.1301311e-06    7.5535345e-06    1.9208063e+26    1.9208063e+26   -1.1243004e+26    3.0451068e+26    0.0000000e+00
0025    7.5535345e-06    7.9769388e-06    8.4506282e-06    2.6889483e+26    2.6889483e+26   -1.5740834e+26    4.2630315e+26    2.9421669e+19
0026    8.4506282e-06    8.9243176e-06    9.4542638e-06    3.7642474e+26    3.7642474e+26   -2.2038914e+26    5.9681386e+26    0.0000000e+00
0027    9.4542638e-06    9.9842109e-06    1.0577097e-05    5.2695131e+26    5.2695131e+26   -3.0859090e+26    8.3554225e+26    0.0000000e+00
0028    1.0577097e-05    1.1169983e-05    1.1833283e-05    7.3766464e+26    7.3766464e+26   -4.3214464e+26    1.1698094e+27    1.1537979e+20
0029    1.1833283e-05    1.2496583e-05    1.3238659e-05    1.0326265e+27    1.0326265e+27   -6.0529117e+26    1.6379177e+27    0.0000000e+00
0030    1.3238659e-05    1.3980736e-05    1.4810945e-05    1.4455162e+27    1.4455162e+27   -8.4809489e+26    2.2936113e+27    1.8075269e+20
0031    1.4810945e-05    1.5641153e-05    1.6569962e-05    2.0234749e+27    2.0234749e+27   -1.1889179e+27    3.2123930e+27    2.2623629e+20
0032    1.6569962e-05    1.7498769e-05    1.8537887e-05    2.8324849e+27    2.8324849e+27   -1.6680341e+27    4.5005189e+27    0.0000000e+00
0033    1.8537887e-05    1.9577006e-05    2.0739535e-05    3.9648971e+27    3.9648971e+27   -2.3429734e+27    6.3078703e+27    0.0000000e+00
0034    2.0739535e-05    2.1902064e-05    2.3202660e-05    5.5499677e+27    5.5499677e+27   -3.2965418e+27    8.8465095e+27    0.0000000e+00
0035    2.3202660e-05    2.4503257e-05    2.5958318e-05    7.7686034e+27    7.7686034e+27   -4.6490317e+27    1.2417635e+28    1.1104585e+21
0036    2.5958318e-05    2.7413378e-05    2.9041248e-05    1.0873989e+28    1.0873989e+28   -6.5770612e+27    1.7451050e+28    0.0000000e+00
0037    2.9041248e-05    3.0669118e-05    3.2490323e-05    1.5220453e+28    1.5220453e+28   -9.3430279e+27    2.4563481e+28    1.7396316e+21
0038    3.2490323e-05    3.4311528e-05    3.6349029e-05    2.1303842e+28    2.1303842e+28   -1.3341620e+28    3.4645465e+28    2.1773830e+21
0039    3.6349029e-05    3.8386526e-05    4.0666007e-05    2.9817926e+28    2.9817926e+28   -1.9173817e+28    4.8991747e+28    5.4505749e+21
0040    4.0666007e-05    4.2945492e-05    4.5495693e-05    4.1733125e+28    4.1733125e+28   -2.7765194e+28    6.9498321e+28    0.0000000e+00
0041    4.5495693e-05    4.8045898e-05    5.0898980e-05    5.8405761e+28    5.8405761e+28   -4.0554999e+28    9.8960750e+28    8.5388103e+21
0042    5.0898980e-05    5.3752057e-05    5.6943980e-05    8.1728193e+28    8.1728193e+28   -5.9796257e+28    1.4152445e+29    0.0000000e+00
0043    5.6943980e-05    6.0135902e-05    6.3706910e-05    1.1432827e+29    1.1432827e+29   -8.9020575e+28    2.0334884e+29    0.0000000e+00
0044    6.3706910e-05    6.7277928e-05    7.1273040e-05    1.5980955e+29    1.5980955e+29   -1.3370982e+29    2.9351939e+29    0.0000000e+00
0045    7.1273040e-05    7.5268166e-05    7.9737772e-05    2.2293933e+29    2.2293933e+29   -2.0206381e+29    4.2500312e+29    0.0000000e+00
0046    7.9737772e-05    8.4207364e-05    8.9207802e-05    3.0934364e+29    3.0934364e+29   -3.0498631e+29    6.1432994e+29    0.0000000e+00
0047    8.9207802e-05    9.4208233e-05    9.9802535e-05    4.2299548e+29    4.2299548e+29   -4.5139084e+29    8.7438635e+29    0.0000000e+00
0048    9.9802535e-05    1.0539684e-04    1.1165556e-04    5.5637173e+29    5.5637173e+29   -6.2651171e+29    1.1828834e+30    0.0000000e+00
0049    1.1165556e-04    1.1791427e-04    1.2491629e-04    6.6832442e+29    6.6832442e+29   -7.4019135e+29    1.4085158e+30    0.0000000e+00
0050    1.2491629e-04    1.3191832e-04    1.3975194e-04    6.8760724e+29    6.8760724e+29   -6.3303292e+29    1.3206401e+30    0.0000000e+00
